product_name_langs,product_name_texts,additives_n,complete,completeness,created_t,ingredients_from_palm_oil_n,ingredients_n,ingredients_percent_analysis,ingredients_with_specified_percent_n,ingredients_with_unspecified_percent_n,ingredients_without_ciqual_codes_n,known_ingredients_n,last_modified_t,last_updated_t,nova_group,popularity_key,rev,unknown_ingredients_n,schema_version,prediction
main | en | fr,Neoguri Udon Type Noodles | Neoguri Udon Type Noodles | 너구리,7.0,0.0,0.675000011920929,1.448511432E9,0.0,58.0,1.0,0.0,52.0,30.0,53.0,1.776353427E9,1.776353427E9,4.0,12.0,47.0,5.0,1003.0,0
main | nl,Cranberry blueberry | Cranberry blueberry,3.0,0.0,0.7875000238418579,1.478091158E9,0.0,16.0,1.0,3.0,9.0,11.0,24.0,1.710435757E9,1.734461044E9,4.0,1.0,35.0,0.0,999.0,1
main | en,Sweet & Hot Mustard | Sweet & Hot Mustard,0.0,0.0,0.6000000238418579,1.48906852E9,0.0,7.0,1.0,0.0,7.0,1.0,12.0,1.740279153E9,1.740279153E9,3.0,0.0,3.0,0.0,999.0,1
main | en,Almond Rounds | Almond Rounds,7.0,0.0,0.6000000238418579,1.489057739E9,0.0,30.0,1.0,1.0,24.0,19.0,52.0,1.740279194E9,1.740279194E9,4.0,0.0,3.0,1.0,999.0,0
main | en,"Tony packo's, pickles & peppers, sweet hots | Tony packo's, pickles & peppers, sweet hots",0.0,0.0,0.5,1.489058149E9,0.0,13.0,1.0,0.0,13.0,5.0,19.0,1.587575099E9,1.734809085E9,4.0,0.0,2.0,4.0,999.0,1
main | en,Snack | Snack,0.0,0.0,0.6000000238418579,1.489060216E9,0.0,5.0,1.0,0.0,4.0,1.0,4.0,1.745539079E9,1.745539079E9,3.0,0.0,6.0,1.0,1001.0,1
main | en,Peanut Butter And Flaxseed | Peanut Butter And Flaxseed,0.0,0.0,0.6000000238418579,1.489143651E9,0.0,6.0,1.0,0.0,6.0,1.0,13.0,1.74028019E9,1.74028019E9,3.0,0.0,3.0,1.0,999.0,1
main | en,Spanish Sofrito | Spanish Sofrito,1.0,0.0,0.675000011920929,1.489050401E9,0.0,14.0,1.0,0.0,14.0,5.0,25.0,1.740280247E9,1.740280247E9,4.0,0.0,7.0,3.0,999.0,1
main | en,Jerk Seasoning | Jerk Seasoning,1.0,0.0,0.6000000238418579,1.489053644E9,0.0,7.0,1.0,0.0,7.0,3.0,13.0,1.740280281E9,1.740280281E9,3.0,1.0,4.0,1.0,999.0,1
main | en,Butter Toffee | Butter Toffee,1.0,0.0,0.675000011920929,1.489133573E9,0.0,18.0,1.0,0.0,16.0,6.0,28.0,1.740280366E9,1.740280366E9,4.0,1.0,7.0,1.0,999.0,1
main | en,"Csm Bakery Products, Sliced Loaf Cake, Banana Nut | Csm Bakery Products, Sliced Loaf Cake, Banana Nut",11.0,0.0,0.5,1.489078212E9,0.0,46.0,1.0,0.0,40.0,22.0,62.0,1.587589667E9,1.734800454E9,4.0,0.0,3.0,3.0,999.0,0
main | en,Cobbler Mix | Cobbler Mix,1.0,0.0,0.6000000238418579,1.489078361E9,0.0,15.0,1.0,0.0,12.0,10.0,24.0,1.740349049E9,1.740349049E9,3.0,0.0,3.0,3.0,999.0,1
main | en,Chicken Gravy Mix | Chicken Gravy Mix,1.0,0.0,0.675000011920929,1.489055468E9,0.0,32.0,1.0,0.0,31.0,14.0,30.0,1.757496281E9,1.757496281E9,4.0,12.0,9.0,2.0,1002.0,1
main | en,Iced Coffee Sweet & Creamy | Iced Coffee Sweet & Creamy,2.0,0.0,0.6000000238418579,1.489073267E9,0.0,10.0,1.0,0.0,9.0,3.0,16.0,1.740349224E9,1.740349224E9,4.0,0.0,4.0,1.0,999.0,1
main | en,Peach & Streusel Turnovers | Peach & Streusel Turnovers,4.0,0.0,0.6000000238418579,1.48913538E9,0.0,20.0,1.0,0.0,18.0,11.0,20.0,1.740350163E9,1.740350163E9,4.0,0.0,3.0,2.0,999.0,1
main | en,Chicken Instant Bouillon | Chicken Instant Bouillon,2.0,0.0,0.5625,1.489052672E9,0.0,16.0,1.0,0.0,13.0,8.0,31.0,1.635710334E9,1.734760992E9,4.0,0.0,5.0,1.0,999.0,1
main | en,Pure Vegetable Oil | Pure Vegetable Oil,0.0,0.0,0.6000000238418579,1.489052666E9,0.0,1.0,1.0,0.0,1.0,0.0,4.0,1.740351362E9,1.740351362E9,3.0,0.0,3.0,0.0,999.0,1
main | en,Smokey Bbq Sauce | Smokey Bbq Sauce,2.0,0.0,0.675000011920929,1.489064251E9,0.0,34.0,1.0,0.0,33.0,5.0,34.0,1.749630564E9,1.749630564E9,4.0,11.0,13.0,0.0,1001.0,1
main | en,"Sea buddies, extra cheddar baked snack crackers, extra cheddar | Sea buddies, extra cheddar baked snack crackers, extra cheddar",12.0,0.0,0.5,1.489052756E9,0.0,70.0,1.0,0.0,58.0,37.0,89.0,1.742439665E9,1.742439665E9,4.0,0.0,3.0,3.0,999.0,0
main | en,Super Chunk Peanut Butter | Super Chunk Peanut Butter,0.0,0.0,0.6875,1.489135389E9,0.0,7.0,1.0,0.0,6.0,3.0,6.0,1.768183483E9,1.771277149E9,4.0,2.2900000013E10,53.0,1.0,1002.0,1
main | en,Valentine Taffy & Card Kit | Valentine Taffy & Card Kit,6.0,0.0,0.6000000238418579,1.48907142E9,0.0,19.0,1.0,0.0,17.0,14.0,28.0,1.740353003E9,1.740353003E9,4.0,0.0,2.0,1.0,999.0,1
main | en,"Spaans, Spiced Cocoa And Marshmallow Meringue Cookies | Spaans, Spiced Cocoa And Marshmallow Meringue Cookies",0.0,0.0,0.5,1.489071423E9,0.0,5.0,1.0,0.0,5.0,2.0,12.0,1.587584841E9,1.734804092E9,4.0,0.0,2.0,0.0,999.0,1
main | en,Chardonnay Balsamic White Wine Vinegar | Chardonnay Balsamic White Wine Vinegar,0.0,0.0,0.6000000238418579,1.489094129E9,0.0,2.0,1.0,1.0,1.0,2.0,4.0,1.740353361E9,1.740353361E9,1.0,0.0,4.0,1.0,999.0,1
main | en,Herb Sea Salt | Herb Sea Salt,0.0,0.0,0.6000000238418579,1.489134239E9,0.0,14.0,1.0,0.0,14.0,4.0,24.0,1.740353602E9,1.740353602E9,3.0,0.0,3.0,1.0,999.0,1
main | en,"Corner store, sours candy, cherry | Corner store, sours candy, cherry",6.0,0.0,0.5625,1.489074196E9,0.0,14.0,1.0,0.0,14.0,9.0,21.0,1.673032563E9,1.734714306E9,4.0,1.0,5.0,2.0,999.0,1
main | en,Pancake & Waffle | Pancake & Waffle,3.0,0.0,0.6000000238418579,1.489053443E9,0.0,20.0,1.0,0.0,18.0,6.0,41.0,1.740353696E9,1.740353696E9,4.0,0.0,2.0,1.0,999.0,1
main | en,Smoked Turkey Sausage | Smoked Turkey Sausage,4.0,0.0,0.6000000238418579,1.489055964E9,0.0,14.0,1.0,0.0,14.0,8.0,24.0,1.740353989E9,1.740353989E9,4.0,0.0,3.0,1.0,999.0,1
main | en,"Lipton, sweetened iced tea mix, half lemonade flavor with other natural flavor & half iced tea | Lipton, sweetened iced tea mix, half lemonade flavor with other natural flavor & half iced tea",1.0,0.0,0.5,1.489062769E9,0.0,9.0,1.0,0.0,7.0,5.0,19.0,1.587578276E9,1.707497701E9,4.0,0.0,3.0,1.0,999.0,1
main | en,"Atkinson's, Sophie Mae, Handmade Peanut Brittle Bar, Coconut | Atkinson's, Sophie Mae, Handmade Peanut Brittle Bar, Coconut",2.0,0.0,0.5,1.489071178E9,0.0,8.0,1.0,0.0,7.0,3.0,13.0,1.587584664E9,1.734804233E9,3.0,0.0,2.0,0.0,999.0,1
main | en,"Andes, Cream De Menthe | Andes, Cream De Menthe",3.0,0.0,0.5,1.489078628E9,0.0,15.0,1.0,0.0,12.0,9.0,36.0,1.58759003E9,1.734800224E9,4.0,0.0,2.0,0.0,999.0,1
main | en,Deli Mustard | Deli Mustard,0.0,0.0,0.6000000238418579,1.489055338E9,0.0,7.0,1.0,0.0,7.0,1.0,9.0,1.740355616E9,1.740355616E9,3.0,0.0,4.0,0.0,999.0,1
main | en,The great eggscape 99% egg product | The great eggscape 99% egg product,3.0,0.0,0.5,1.489056028E9,0.0,29.0,1.0,0.0,23.0,24.0,34.0,1.587573576E9,1.734809931E9,4.0,0.0,2.0,2.0,999.0,0
main | en,Monterey Jack Cheese With Jalapeno Peppers | Monterey Jack Cheese With Jalapeno Peppers,0.0,0.0,0.6000000238418579,1.489055824E9,0.0,6.0,1.0,0.0,6.0,3.0,13.0,1.740356245E9,1.740356245E9,3.0,0.0,2.0,1.0,999.0,1
main | en,"Jays, o-ke-doke, white popcorn | Jays, o-ke-doke, white popcorn",0.0,0.0,0.5,1.489068416E9,0.0,8.0,1.0,0.0,6.0,3.0,15.0,1.587581977E9,1.734805676E9,4.0,0.0,2.0,1.0,999.0,1
main | en,"Lemonade, Strawberry | Lemonade, Strawberry",3.0,0.0,0.4000000059604645,1.489071444E9,0.0,10.0,1.0,0.0,7.0,8.0,16.0,1.686915078E9,1.707498046E9,4.0,0.0,2.0,2.0,999.0,1
main | en,100% juice from concentrate | 100% juice from concentrate,0.0,0.0,0.5,1.489073314E9,0.0,3.0,1.0,0.0,2.0,0.0,9.0,1.587586188E9,1.734803039E9,1.0,0.0,2.0,0.0,999.0,1
main | en,Polish Style With Caraway Seeds Kraut | Polish Style With Caraway Seeds Kraut,0.0,0.0,0.6625000238418579,1.489060625E9,0.0,5.0,1.0,0.0,5.0,3.0,8.0,1.740356816E9,1.740356816E9,3.0,0.0,6.0,1.0,999.0,1
main | en,Flat Fillets of Anchovies in Olive Oil | Flat Fillets of Anchovies in Olive Oil,0.0,0.0,1.0,1.421890665E9,0.0,3.0,1.0,0.0,3.0,0.0,3.0,1.773086214E9,1.773086214E9,3.0,7.0,28.0,0.0,1003.0,1
